,Symbols,Source_urls,Oustanding_Shares,Raw_outstanding_share_vals
FTNT,FTNT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1262039/000126203922000038/ftnt-20220930.htm',"781,236,011",781236011
FTV,FTV,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1659166/000165916622000190/ftv-20220930.htm',"353,808,253",353808253
FOX,FOX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1754301/000162828022027482/fox-20220930.htm',"302,474,619",604949238
BEN,BEN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/38777/000003877722000198/ben-20220930.htm',"499,558,579",499558579
FCX,FCX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/831259/000083125922000049/fcx-20220930.htm',"1,429,327,191",1429327191
GRMN,GRMN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1121788/000095017022020097/grmn-20220924.htm',"191,663,933",191663933
IT,IT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/749251/000074925122000035/it-20220930.htm',"79,024,380",79024380
GEN,GEN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/849399/000084939922000026/gen-20220930.htm',"651,359,881",651359881
GNRC,GNRC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1474735/000143774922026207/gnrc20220930_10q.ht,"63,356,402",63356402
GD,GD,'https://www.sec.gov/ix?doc=/Archives/edgar/data/40533/000004053322000048/gd-20221002.htm',"274,548,961",274548961
GE,GE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/40545/000004054522000060/ge-20220930.htm',"1,092,668,140",1092668140
D39,D39,'https://www.sec.gov/ix?doc=/Archives/edgar/data/40704/000119312522309146/d392633d10q.htm',"589,610,717",589610717
GM,GM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1467858/000146785822000114/gm-20220930.htm',"1,420,696,787",1420696787
GPC,GPC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/40987/000004098722000040/gpc-20220930.htm',"141,161,349",141161349
GILD,GILD,'https://www.sec.gov/ix?doc=/Archives/edgar/data/882095/000088209522000027/gild-20220930.htm',"1,254,243,845",1254243845
GL,GL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/320335/000032033522000034/gl-20220930.htm',"97,270,229",97270229
GPN,GPN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1123360/000112336022000030/gpn-20220930.htm',"270,401,146",270401146
GS,GS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/886982/000088698222000002/gs-20220930.htm',"338,634,588",338634588
HAL,HAL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/45012/000004501222000067/hal-20220930.htm',"908,046,777",908046777
HIG,HIG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/874766/000087476622000102/hig-20220930.htm',"318,098,929",318098929
HAS,HAS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/46080/000004608022000123/has-20220925.htm',"138,113,722",138113722
HCA,HCA,'https://www.sec.gov/ix?doc=/Archives/edgar/data/860730/000095017022020865/hca-20220930.htm',"282,716,700",282716700
PEAK,PEAK,'https://www.sec.gov/ix?doc=/Archives/edgar/data/765880/000162828022027830/peak-20220930.htm',"537,540,144",537540144
HSIC,HSIC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1000228/000100022822000068/hsic-20220924.htm',"135,547,575",135547575
HSY,HSY,'https://www.sec.gov/ix?doc=/Archives/edgar/data/47111/000004711122000051/hsy-20221002.htm',"146,968,799",146968799
HES,HES,'https://www.sec.gov/ix?doc=/Archives/edgar/data/4447/000162828022028196/hes-20220930.htm',"308,308,466",308308466
HPE,HPE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1645590/000164559022000071/hpe-20221031.htm',"1,281,816,851",1281816851
HLT,HLT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1585689/000158568922000164/hlt-20220930.htm',"270,456,017",270456017
HOLX,HOLX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/859737/000085973722000022/holx-20220924.htm',"245,833,759",245833759
HD,HD,'https://www.sec.gov/ix?doc=/Archives/edgar/data/354950/000035495022000239/hd-20221030.htm',"1,019,186,022",1019186022
HON,HON,'https://www.sec.gov/ix?doc=/Archives/edgar/data/773840/000077384022000071/hon-20220930.htm',"672,322,232",672322232
HRL,HRL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/48465/000004846522000051/hrl-20221030.htm',"546,424,194",546424194
HST,HST,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1070750/000095017022022127/hst-20220930.htm',"715,027,761",715027761
HWM,HWM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/4281/000000428122000020/hwm-20220930.htm',"413,712,037",413712037
HPQ,HPQ,'https://www.sec.gov/ix?doc=/Archives/edgar/data/47217/000004721722000068/hpq-20221031.htm',"982,145,796",982145796
HUM,HUM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/49071/000004907122000071/hum-20220930.htm',"126,600,318",126600318
HBAN,HBAN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/49196/000004919622000113/hban-20220930.htm',"1,442,734,255",1442734255
HII,HII,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1501585/000150158522000034/hii-20220930.htm',"39,903,536",39903536
IBM,IBM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/51143/000155837022015322/ibm-20220930x10q.htm',"904,126,363",904126363
IEX,IEX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/832101/000083210122000056/iex-20220930.htm',"75,421,109",75421109
IDXX,IDXX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/874716/000087471622000038/idxx-20220930.htm',"82,816,957",82816957
ITW,ITW,'https://www.sec.gov/ix?doc=/Archives/edgar/data/49826/000004982622000060/itw-20220930.htm',"307,186,379",307186379
ILMN,ILMN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1110803/000111080322000047/ilmn-20221002.htm',"157,300,000",157300000
INCY,INCY,'https://www.sec.gov/ix?doc=/Archives/edgar/data/879169/000087916922000010/incy-20220930.htm',"222,475,468",222475468
IRI,IRI,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1699150/000162828022028451/iri-20220930.htm',"404,925,743",404925743
INTC,INTC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/50863/000005086322000038/intc-20221001.htm',"4,127,000,000",4127000000
ICE,ICE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1571949/000157194922000016/ice-20220930.htm',"558,551,625",558551625
IP,IP,'https://www.sec.gov/ix?doc=/Archives/edgar/data/51434/000005143422000052/ip-20220930.htm',"355,670,009",355670009
IPG,IPG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/51644/000005164422000050/ipg-20220930.htm',"388,524,718",388524718
IFF,IFF,'https://www.sec.gov/ix?doc=/Archives/edgar/data/51253/000005125322000030/iff-20220930.htm',"254,962,253",254962253
INTU,INTU,'https://www.sec.gov/ix?doc=/Archives/edgar/data/896878/000089687822000036/intu-20221031.htm',"280,925,350",280925350
ISRG,ISRG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1035267/000103526722000169/isrg-20220930.htm',"353,384,570",353384570
IVZ,IVZ,'https://www.sec.gov/ix?doc=/Archives/edgar/data/914208/000091420822000500/ivz-20220930.htm',"454,784,608",454784608
INVH,INVH,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1687229/000168722922000035/invh-20220930.htm',"611,409,909",611409909
IQV,IQV,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1478242/000147824222000101/iqv-20220930.htm',"185,740,023",185740023
IRM,IRM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1020569/000102056922000210/irm-20220930.htm',"290,714,037",290714037
JBHT,JBHT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/728535/000143774922025965/jbht20220930_10q.htm,"103,537,423",103537423
JKHY,JKHY,'https://www.sec.gov/ix?doc=/Archives/edgar/data/779152/000077915222000103/jkhy-20220930.htm',"72,949,433",72949433
JEC,JEC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/52988/000005298822000111/jec-20220930.htm',"126,332,274",126332274
JNJ,JNJ,'https://www.sec.gov/ix?doc=/Archives/edgar/data/200406/000020040622000086/jnj-20221002.htm',"2,614,483,607",2614483607
JCI,JCI,'https://www.sec.gov/ix?doc=/Archives/edgar/data/833444/000083344422000043/jci-20220930.htm',"686,703,889",686703889
JPM,JPM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/19617/000001961722000492/jpm-20220930.htm',"2,933,204,888",2933204888
JNPR,JNPR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1043604/000104360422000163/jnpr-20220930.htm',"324,555,523",324555523
K,K,'https://www.sec.gov/ix?doc=/Archives/edgar/data/55067/000162828022028218/k-20221001.htm',"341,281,145",341281145
KDP,KDP,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1418135/000141813522000023/kdp-20220930.htm',"1,416,251,307",1416251307
KEY,KEY,'https://www.sec.gov/ix?doc=/Archives/edgar/data/91576/000009157622000119/key-20220930.htm',"932,969,593",932969593
KEYS,KEYS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1601046/000160104622000161/keys-20221031.htm',"178,795,460",178795460
KMB,KMB,'https://www.sec.gov/ix?doc=/Archives/edgar/data/55785/000005578522000074/kmb-20220930.htm',"337,492,094",337492094
KIM,KIM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/879101/000143774922025020/kim20220930_10q.htm',"618,460,829",618460829
KMI,KMI,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1506307/000150630722000111/kmi-20220930.htm',"2,247,742,071",2247742071
KLAC,KLAC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/319201/000162828022027311/klac-20220930.htm',"141,718,327",141718327
KHC,KHC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1637459/000163745922000191/khc-20220924.htm',"1,224,930,164",1224930164
KR,KR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/56873/000155837022018508/kr-20221105x10q.htm',"715,821,875",715821875
HRS,HRS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/202058/000020205822000063/hrs-20220930.htm',"190,402,795",190402795
LH,LH,'https://www.sec.gov/ix?doc=/Archives/edgar/data/920148/000092014822000060/lh-20220930.htm',"88,600,000",88600000
LRCX,LRCX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/707549/000070754922000124/lrcx-20220925.htm',"136,379,336",136379336
LW,LW,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1679273/000155837023000048/lw-20221127x10q.htm,"143,870,590",143870590
LVS,LVS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1300514/000130051422000119/lvs-20220930.htm',"764,166,260",764166260
LDOS,LDOS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1336920/000133692022000060/ldos-20220930.htm',"136,689,557",136689557
LEN,LEN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/920760/000162828022025896/len-20220831.htm',"254,767,434",254767434
LNC,LNC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/59558/000005955822000043/lnc-20220930x10q.htm',"169,215,464",169215464
LIN,LIN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1707925/000162828022027183/lin-20220930.htm',"494,379,532",494379532
LYV,LYV,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1335258/000133525822000144/lyv-20220930.htm',"230,879,879",230879879
LKQ,LKQ,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1065696/000106569622000077/lkq-20220930.htm',"267,174,985",267174985
LMT,LMT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/936468/000093646822000120/lmt-20220925.htm',"262,073,963",262073963
L,L,'https://www.sec.gov/ix?doc=/Archives/edgar/data/60086/000006008622000109/l-20220930.htm',"237,427,052",237427052
LOW,LOW,'https://www.sec.gov/ix?doc=/Archives/edgar/data/60667/000006066722000170/low-20221028.htm',"604,702,575",604702575
LUMN,LUMN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/18926/000001892622000042/lumn-20220930.htm',"1,034,582,843",1034582843
LYB,LYB,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1489393/000148939322000046/lyb-20220930.htm',"325,624,433",325624433
MTB,MTB,'https://www.sec.gov/ix?doc=/Archives/edgar/data/36270/000095017022022465/mtb-20220930.htm',"172,613,343",172613343
MRO,MRO,'https://www.sec.gov/ix?doc=/Archives/edgar/data/101778/000010177822000192/mro-20220930.htm',"635,067,840",635067840
MPC,MPC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1510295/000151029522000077/mpc-20220930.htm',"468,660,833",468660833
MKTX,MKTX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1278021/000095017022020175/mktx-20220930.htm',"37,636,823",37636823
MAR,MAR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1048286/000162828022028021/mar-20220930.htm',"316,539,613",316539613
MMC,MMC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/62709/000006270922000081/mmc-20220930.htm',"496,009,506",496009506
MLM,MLM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/916076/000095017022021173/mlm-20220930.htm',"62,090,694",62090694
MAS,MAS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/62996/000006299622000041/mas-20220930.htm',"225,529,123",225529123
MA,MA,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1141391/000114139122000163/ma-20220930.htm',"953,803,041",953803041
MTCH,MTCH,'https://www.sec.gov/ix?doc=/Archives/edgar/data/891103/000089110322000095/mtch-20220930.htm',"279,306,106",279306106
MKC,MKC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/63754/000006375422000044/mkc-20220831.htm',"17,606,187",17606187
MCD,MCD,'https://www.sec.gov/ix?doc=/Archives/edgar/data/63908/000006390822000055/mcd-20220930.htm',"732,423,892",732423892
MCK,MCK,'https://www.sec.gov/ix?doc=/Archives/edgar/data/927653/000092765322000097/mck-20220930.htm',"141,793,480",141793480
MDT,MDT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1613103/000161310322000063/mdt-20221028.htm',"1,330,179,978",1330179978
MRK,MRK,'https://www.sec.gov/ix?doc=/Archives/edgar/data/310158/000031015822000034/mrk-20220930.htm',"2,535,395,974",2535395974
META,META,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1326801/000132680122000108/meta-20220930.htm',"2,248,672,20",224867220
MET,MET,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1099219/000109921922000174/met-20220930.htm',"784,606,205",784606205
MTD,MTD,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1037646/000103764622000031/mtd-20220930.htm',"22,294,189",22294189
MGM,MGM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/789570/000078957022000038/mgm-20220930.htm',"384,020,296",384020296
MCHP,MCHP,'https://www.sec.gov/ix?doc=/Archives/edgar/data/827054/000082705422000193/mchp-20220930.htm',"550,008,710",550008710
MU,MU,'https://www.sec.gov/ix?doc=/Archives/edgar/data/723125/000072312522000072/mu-20221201.htm',"1,091,176,552",1091176552
MSFT,MSFT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/789019/000156459022035087/msft-10q_20220930.ht,"7,454,473,144",7454473144
MAA,MAA,'https://www.sec.gov/ix?doc=/Archives/edgar/data/912595/000095017022020325/maa-20220930.htm',"115,477,018",115477018
MRNA,MRNA,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1682852/000168285222000051/mrna-20220930.htm',"384,180,469",384180469
MHK,MHK,'https://www.sec.gov/ix?doc=/Archives/edgar/data/851968/000085196822000091/mhk-20221001.htm',"63,534,032",63534032
MOH,MOH,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1179929/000117992922000172/moh-20220930.htm',"58,400,000",58400000
TAP,TAP,'https://www.sec.gov/ix?doc=/Archives/edgar/data/24545/000002454522000018/tap-20220930.htm',"2,562,506",2562506
MDLZ,MDLZ,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1103982/000110398222000018/mdlz-20220930.htm',"1,365,618,508",1365618508
MPWR,MPWR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1280452/000143774922026581/mpwr20220930_10q.ht,"46,942,000",46942000
MNST,MNST,'https://www.sec.gov/ix?doc=/Archives/edgar/data/865752/000110465922114849/mnst-20220930x10q.ht,"521,743,612",521743612
MCO,MCO,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1059556/000105955622000063/mco-20220930.htm',"183,200,000",183200000
MS,MS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/895421/000089542122000587/ms-20220930.htm',"1,690,109,419",1690109419
MOS,MOS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1285785/000161803422000012/mos-20220930.htm',"340,481,034",340481034
MSI,MSI,'https://www.sec.gov/ix?doc=/Archives/edgar/data/68505/000006850522000031/msi-20221001.htm',"167,203,209",167203209
MSCI,MSCI,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1408198/000140819822000012/msci-20220930.htm',"79,958,166",79958166
NDAQ,NDAQ,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1120193/000112019322000020/ndaq-20220930.htm',"491,279,526",491279526
NTAP,NTAP,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1002047/000095017022025960/ntap-20221028.htm',"215,573,357",215573357
NFLX,NFLX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1065280/000106528022000368/nflx-20220930.htm',"445,020,494",445020494
NWL,NWL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/814453/000081445322000129/nwl-20220930.htm',"413,600,000",413600000
NEM,NEM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1164727/000116472722000035/nem-20220930.htm',"793,738,731",793738731
NWS,NWS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1564708/000156470822000398/nws-20220930.htm',"382,351,488",764702976
NEE,NEE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/753308/000075330822000081/nee-20220930.htm',"1,987,163,652",1987163652
NKE,NKE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/320187/000032018723000003/nke-20221130.htm',"304,897,252",304897252
NIX,NIX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1111711/000111171122000041/nix-20220930.htm',"406,134,342",406134342
NDSN,NDSN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/72331/000007233122000185/ndsn-20221031.htm',"57,156,824",57156824
NSC,NSC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/702165/000070216522000039/nsc-20220930.htm',"231,514,213",231514213
NTRS,NTRS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/73124/000007312422000208/ntrs-20220930.htm',"208,415,673",208415673
NOC,NOC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1133421/000113342122000042/noc-20220930.htm',"153,912,156",153912156
NCLH,NCLH,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1513761/000155837022016836/nclh-20220930x10q.h,"421,396,100",421396100
NRG,NRG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1013871/000101387122000027/nrg-20220930.htm',"230,384,205",230384205
NUE,NUE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/73309/000156459022037206/nue-10q_20221001.htm',"256,543,710",256543710
NVDA,NVDA,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581022000166/nvda-20221030.htm',"2,460,000,000",2460000000
NVR,NVR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/906163/000090616322000104/nvr-20220930.htm',"3,195,887",3195887
NXPI,NXPI,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1413447/000141344722000067/nxpi-20221002.htm',"259,134,862",259134862
ORLY,ORLY,'https://www.sec.gov/ix?doc=/Archives/edgar/data/898173/000089817322000049/orly-20220930x10q.ht,"62,575,911",62575911
OXY,OXY,'https://www.sec.gov/ix?doc=/Archives/edgar/data/797468/000079746822000036/oxy-20220930.htm',"908,914,149",908914149
ODFL,ODFL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/878927/000095017022021737/odfl-20220930.htm',"110,481,622",110481622
OMC,OMC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/29989/000002998922000035/omc-20220930.htm',"203,916,128",203916128
ON,ON,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1097864/000162828022027363/on-20220930.htm',"432,423,573",432423573
OKE,OKE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1039684/000103968422000076/oke-20220930.htm',"446,953,842",446953842
ORCL,ORCL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1341439/000156459022039278/orcl-10q_20221130.h,"2,696,253,000",2696253000
OGN,OGN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1821825/000182182522000012/ogn-20220930.htm',"254,364,409",254364409
OTIS,OTIS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1781335/000178133522000045/otis-20220930.htm',"416,586,077",416586077
PCAR,PCAR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/75362/000156459022035704/pcar-10q_20220930.htm,"347,767,575",347767575
PKG,PKG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/75677/000095017022021648/pkg-20220930.htm',"92,534,480",92534480
PARA,PARA,'https://www.sec.gov/ix?doc=/Archives/edgar/data/813828/000081382822000039/para-20220930.htm',"40,704,664",40704664
PH,PH,'https://www.sec.gov/ix?doc=/Archives/edgar/data/76334/000007633422000049/ph-20220930.htm',"128,405,731",128405731
PAYX,PAYX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/723531/000095017022026948/payx-20221130.htm',"360,466,548",360466548
PAYC,PAYC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1590955/000095017022021851/payc-20220930.htm',"60,020,369",60020369
PYPL,PYPL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1633917/000163391722000167/pypl-20220930.htm',"1,140,027,732",1140027732
PNR,PNR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/77360/000007736022000041/pnr-20220930.htm',"164,498,354",164498354
PEP,PEP,'https://www.sec.gov/ix?doc=/Archives/edgar/data/77476/000007747622000052/pep-20220903.htm',"1,377,709,209",1377709209
PKI,PKI,'https://www.sec.gov/ix?doc=/Archives/edgar/data/31791/000003179122000012/pki-20221002.htm',"126,315,920",126315920
PFE,PFE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/78003/000007800322000101/pfe-20221002.htm',"5,613,314,537",5613314537
PCG,PCG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1004980/000100498022000133/pcg-20220930.htm',"2,465,443,675",2465443675
PM,PM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1413329/000141332922000114/pm-20220930.htm',"1,550,202,305",1550202305
PSX,PSX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1534701/000153470122000185/psx-20220930.htm',"472,632,213",472632213
PNW,PNW,'https://www.sec.gov/ix?doc=/Archives/edgar/data/764622/000076462222000093/pnw-20220930.htm',"113,140,203",113140203
PXD,PXD,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1038357/000103835722000136/pxd-20220930.htm',"237,598,733",237598733
PNC,PNC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/713676/000071367622000092/pnc-20220930.htm',"403,319,033",403319033
POOL,POOL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/945841/000094584122000122/pool-20220930.htm',"39,050,618",39050618
PPG,PPG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/79879/000007987922000078/ppg-20220930.htm',"235,027,394",235027394
PPL,PPL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/922224/000092222422000049/ppl-20220930.htm',"736,318,284",736318284
PFG,PFG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1126328/000110465922113860/pfg-20220930x10q.ht,"244,682,790",244682790
PG,PG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/80424/000008042422000102/pg-20220930.htm',"2,369,696,862",2369696862
PGR,PGR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/80661/000008066122000080/pgr-20220930.htm',"585,069,712",585069712
PLD,PLD,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1045609/000156459022035526/pld-10q_20220930.ht,"923,076,000",923076000
PRU,PRU,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1137774/000113777422000110/pru-20220930.htm',"368,000,000",368000000
PSEG,PSEG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/788784/000162828022027422/pseg-20220930.htm',"498,949,744",498949744
PTC,PTC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/857005/000095017022025211/ptc-20220930.htm',"117,471,969",117471969
PSA,PSA,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1393311/000139331122000036/psa-20220930.htm',"175,638,388",175638388
PHM,PHM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/822416/000082241622000050/phm-20220930.htm',"227,819,724",227819724
RFMD,RFMD,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1604778/000160477822000064/rfmd-20221001.htm',"101,389,473",101389473
PWR,PWR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1050915/000105091522000122/pwr-20220930.htm',"142,901,156",142901156
QCOM,QCOM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/804328/000080432822000021/qcom-20220925.htm',"1,121,000,000",1121000000
DGX,DGX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1022079/000102207922000140/dgx-20220930.htm',"113,887,466",113887466
RL,RL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1037038/000103703822000031/rl-20221001.htm',"41,091,215",41091215
RJF,RJF,'https://www.sec.gov/ix?doc=/Archives/edgar/data/720005/000072000522000066/rjf-20220930.htm',"215,063,590",215063590
RTX,RTX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/101829/000010182922000056/rtx-20220930.htm',"1,470,060,775",1470060775
O,O,'https://www.sec.gov/ix?doc=/Archives/edgar/data/726728/000072672822000121/o-20220930.htm',"627,153,861",627153861
REG,REG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/910606/000095017022022118/reg-20220930.htm',"171,122,720",171122720
REGN,REGN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/872589/000180422022000031/regn-20220930.htm',"1,818,146",1818146
RF,RF,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1281761/000128176122000060/rf-20220930.htm',"934,445,606",934445606
RSG,RSG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1060391/000106039122000027/rsg-20220930.htm',"316,000,936",316000936
RHI,RHI,'https://www.sec.gov/ix?doc=/Archives/edgar/data/315213/000031521322000090/rhi-20220930.htm',"108,498,536",108498536
ROK,ROK,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1024478/000102447822000093/rok-20220930.htm',"114,844,152",114844152
ROL,ROL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/84839/000008483922000059/rol-20220930x10q.htm',"492,472,436",492472436
ROP,ROP,'https://www.sec.gov/ix?doc=/Archives/edgar/data/882835/000088283522000072/rop-20220930.htm',"106,052,054",106052054
ROST,ROST,'https://www.sec.gov/ix?doc=/Archives/edgar/data/745732/000074573222000064/rost-20221029.htm',"344,371,009",344371009
RCL,RCL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/884887/000088488722000038/rcl-20220930.htm',"255,182,015",255182015
SPGI,SPGI,'https://www.sec.gov/ix?doc=/Archives/edgar/data/64040/000006404022000171/spgi-20220930.htm',"325,800,000",325800000
CRM,CRM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1108524/000110852422000060/crm-20221031.htm',"1,000,000,000",1000000000
SBAC,SBAC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1034054/000103405422000008/sbac-20220930x10q.h,"107,965,538",107965538
